#BS/SU                      Rangin et al. [1999]
 +1.19475E+02,-8.10301E-02
 +1.19296E+02,-6.80331E-01
 +1.19045E+02,-1.49138E+00
 +1.18884E+02,-1.94980E+00
 +1.18723E+02,-2.40821E+00
 +1.18578E+02,-3.25522E+00
 +1.18823E+02,-3.60956E+00
#BS-SU                      Rangin et al. [1999]
 +1.18823E+02,-3.60956E+00
 +1.19565E+02,-3.96595E+00
 +1.19953E+02,-4.30293E+00
 +1.20341E+02,-4.63970E+00
 +1.20516E+02,-5.27551E+00
 +1.20620E+02,-6.12225E+00
 +1.20546E+02,-6.96760E+00
 +1.20543E+02,-7.81221E+00
#BS-TI                      Rangin et al. [1999]
 +1.20543E+02,-7.81221E+00
 +1.21253E+02,-7.99023E+00
 +1.21891E+02,-8.06221E+00
 +1.22673E+02,-7.85285E+00
 +1.23383E+02,-7.78357E+00
 +1.24235E+02,-7.78434E+00
 +1.24750E+02,-7.64403E+00
 +1.25264E+02,-7.50310E+00
 +1.25761E+02,-7.43253E+00
 +1.26258E+02,-7.30915E+00
 +1.26755E+02,-7.18521E+00
 +1.27393E+02,-7.18420E+00
 +1.27854E+02,-6.98976E+00
 +1.28315E+02,-6.79487E+00
 +1.28776E+02,-6.56475E+00
 +1.29236E+02,-6.33421E+00
 +1.29839E+02,-6.52615E+00
 +1.30443E+02,-6.71736E+00
 +1.31010E+02,-6.67987E+00
 +1.31577E+02,-6.64174E+00
 +1.32133E+02,-6.66168E+00
 +1.32689E+02,-6.68099E+00
